family,num_tensors,numel,fp_changed_count,l1_delta,l2_delta_sq,closer_to_fp_count,closer_to_base_count,fp_changed_ratio_weighted,l1_share_global,l2_energy_share_global,closer_to_fp_ratio,closer_to_base_ratio
resnet_conv1,22,288460800,252212603,10432.064575195312,1.0207761200144887,252201918,0,0.8743392620418442,0.34825587430804555,0.12846132410014452,0.9999576349481631,0.0
resnet_conv2,22,199987200,174876933,8107.070915222168,0.8551048815716058,174870414,0,0.8744406292002688,0.2706401066928944,0.10761214254270231,0.9999627223562985,0.0
attn2_to_out,16,12390400,11608957,3039.3129959106445,2.3632469940930605,11608957,0,0.9369315760588843,0.10146204493436525,0.2974068770658271,1.0,0.0
attn2_to_v,16,9584640,8858728,1902.3099098205566,1.2870716229081154,8858728,0,0.9242629874465812,0.06350522430858456,0.16197373904882456,1.0,0.0
attn2_to_q,16,12390400,11223861,1706.3342304229736,0.9916976974345744,11223861,0,0.9058513849431818,0.056962925698394,0.12480190006570854,1.0,0.0
attn2_to_k,16,9584640,8663364,1451.1976509094238,1.001344956457615,8663364,0,0.9038799579326923,0.04844564592831628,0.1260159759475182,1.0,0.0
attn1_to_q,16,12390400,10838142,812.8944864273071,0.12741694366559386,10837896,0,0.8747209129648761,0.027137032947826756,0.01603500412592272,0.9999773023826408,0.0
attn1_to_k,16,12390400,10836459,805.0269994735718,0.12478203244972974,10836219,0,0.8745850819989669,0.02687439092448317,0.015703409198259813,0.9999778525438984,0.0
attn1_to_out,16,12390400,10836616,644.7943053245544,0.07683029124746099,10836338,0,0.8745977530991735,0.021525308143086088,0.009668839965132115,0.9999743462350239,0.0
attn1_to_v,16,12390400,10836025,614.8070073127747,0.07038163300603628,10835721,0,0.8745500548811983,0.020524235669660305,0.008857297492576067,0.9999719454320196,0.0
conv_shortcut,14,23244800,20304847,439.35880994796753,0.027521500072907656,20302836,0,0.8735221210765418,0.014667210444343628,0.0034634904473840556,0.9999009596083143,0.0
