block_id,num_tensors,numel,changed_count,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,changed_ratio_weighted,l1_share_global,l2_energy_share_global
up_blocks.1,67,258238080,5784409,9806.398559570312,42.3375244140625,0.2347007794166679,0.0360870361328125,0.00014888932198675267,0.022399519853927043,0.3351066906817512,0.33769579394963933
up_blocks.2,67,71366080,2902930,5601.2537841796875,27.947519540786743,0.18974200291420096,0.0437469482421875,0.00017008626548601177,0.040676607150063444,0.19140743748919545,0.22291713865807106
down_blocks.2,44,139934080,3858207,5424.6988525390625,20.67777180671692,0.19911768219687723,0.045723915100097656,0.0001254156575834548,0.02757160371512072,0.18537415845140923,0.16493162186543406
mid_block,26,97003520,1927766,2795.0777587890625,10.353825569152832,0.174087799512423,0.032566070556640625,0.00010935769667132542,0.01987315511849467,0.09551409238123093,0.0825849738354043
down_blocks.1,44,36789440,1932720,2709.4172973632812,12.014032363891602,0.14254120127721268,0.0406951904296875,0.00012528008400377902,0.05253464037506415,0.09258688178742419,0.09582724199890785
up_blocks.3,66,18787200,1447958,1712.8582458496094,6.783627212047577,0.08581216904250058,0.0385589599609375,0.0001056005756695275,0.07707151677738035,0.05853221800917324,0.054108085178213444
down_blocks.0,43,10510080,964459,1213.8071899414062,5.2574839144945145,0.09203222809835922,0.0413818359375,0.00011486033056212892,0.09176514355742296,0.04147852119981581,0.04193514451432994
down_blocks.3,10,62264320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,5,2071360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.0,19,162213120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
