family,num_tensors,numel,changed_count,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,changed_ratio_weighted,l1_share_global,l2_energy_share_global
attn2_to_k,16,9584640,9422783,18205.98260498047,89.68879699707031,2.285188429057598,0.045723915100097656,0.0019215186694054864,0.9831128764356304,0.6221393658745865,0.715382628755063
attn2_to_v,16,9584640,9395666,11057.529083251953,35.682987824082375,1.315932136029005,0.03490257263183594,0.0010256006626150338,0.9802836621928419,0.37786063412541354,0.284617371244937
attn1_to_out,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attn1_to_k,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attn1_to_v,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attn1_to_q,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attn2_to_out,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attn2_to_q,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conv_shortcut,14,23244800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
downsampler,3,19353600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ff,32,148684800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,113,2171200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proj_in,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proj_out,16,12390400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet_conv1,22,288460800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resnet_conv2,22,199987200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_emb_proj,22,25804800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upsampler,3,33177600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
